address,postal,city,lat,lon
29 Battenberg Ave,M4L 1J7,Toronto,43.667349,-79.315465
48 Cleveland St,M4S 2W2,Toronto,43.7013391,-79.3778701
35E Spruce St,M5A 2H8,Toronto,43.6633907,-79.3658489
21 Foxbar Rd,M4V 2G5,Toronto,43.6850144,-79.3994211
30 Prince Rupert Ave,M6P 2A7,Toronto,43.658868,-79.4546525
122 Cambridge Ave,M4K 2L6,Toronto,43.6794236,-79.359646
14 Ellis Park Rd,M6S 2V3,Toronto,43.6464246,-79.4715337
179 Glenmount Park Rd,M4E 2N3,Toronto,43.6820694,-79.30546869999999
12 Osborne Ave,M4E 3A9,Toronto,43.6816786,-79.2963224
1478 Queen St E,M4L 1E3,Toronto,43.6655437,-79.3211838
68 Shaftesbury Ave,M4T 1A3,Toronto,43.6827666,-79.38885049999999
52A College View Ave,M5P 1J5,Toronto,43.7018338,-79.4082864
766 Danforth Ave,M4J 1L5,Toronto,43.6795833,-79.3422554
379 Perth Ave,M6P 3Y3,Toronto,43.6649215,-79.4519516
18 Chicora Ave,M5R 1T6,Toronto,43.6762408,-79.3987143
192 Gladstone Ave,M6J 3L4,Toronto,43.6483362,-79.42959119999999
351 Melita Ave,M6G 3X1,Toronto,43.6736042,-79.42578429999999
206 Augusta Ave,M5T 2L6,Toronto,43.6545255,-79.40232689999999
2829A Dundas St W,M6P 1Y6,Toronto,43.6652134,-79.4636524
6 Devon Rd,M4E 2J8,Toronto,43.6796201,-79.30926160000001
73 Hampton Ave,M4K 2Y7,Toronto,43.6737893,-79.3510687
1180 Davenport Rd,M6H 2G5,Toronto,43.6748335,-79.4322155
383 Hillsdale Ave E,M4S 1T9,Toronto,43.70548900000001,-79.3864364
62 Oriole Rd,M4V 2G1,Toronto,43.6895895,-79.4011002
145 Ronan Ave,M4N 2Y2,Toronto,43.7305696,-79.395219
34B Balmoral Ave,M4V 1J4,Toronto,43.685566,-79.395344
812A St Clair Ave W,M6C 1B6,Toronto,43.68093469999999,-79.4304071
416A Parliament St,M5A 3A1,Toronto,43.662586,-79.36744620000002
25 Irwin Ave,M4Y 1L4,Toronto,43.6663713,-79.3866019
252 Wright Ave,M6R 1L5,Toronto,43.6450815,-79.4514174
181 Gainsborough Rd,M4L 3C3,Toronto,43.6749907,-79.3184108
4 Howie Ave,M4M 2J1,Toronto,43.6603491,-79.3482942
88 Blackthorn Ave,M6N 3H6,Toronto,43.6768797,-79.45937959999999
1006 Davenport Rd,M6G 2B9,Toronto,43.6751358,-79.42591170000001
664 Brock Ave,M6H 3P2,Toronto,43.6608724,-79.4396107
283 Wright Ave,M6R 1L8,Toronto,43.6441321,-79.45445699999999
1 Lyndhurst Crt,M5R 1X7,Toronto,43.6778704,-79.41213410000002
111 Victoria St,M5C 2M6,Toronto,43.65235089999999,-79.37775049999999
